행정구역,연도,구분,인구수
경기도 안산시 상록구 본오1동,2017,남+여,43250
경기도 안산시 상록구 본오1동,2017,여,21065
경기도 안산시 상록구 본오1동,2018,남,21297
경기도 안산시 상록구 본오1동,2018,남+여,41487
경기도 안산시 상록구 본오1동,2018,여,20190
경기도 안산시 상록구 본오1동,2019,남,20430
경기도 안산시 상록구 본오1동,2019,남+여,39694
경기도 안산시 상록구 본오1동,2019,여,19264
경기도 안산시 상록구 본오1동,2020,남,19692
경기도 안산시 상록구 본오1동,2020,남+여,38101
경기도 안산시 상록구 본오1동,2020,여,18409
경기도 안산시 상록구 본오1동,2021,남,19342
경기도 안산시 상록구 본오1동,2021,남+여,37238
경기도 안산시 상록구 본오1동,2021,여,17896
경기도 안산시 상록구 본오1동,2022,남,19097
경기도 안산시 상록구 본오1동,2022,남+여,36756
경기도 안산시 상록구 본오1동,2022,여,17659
경기도 안산시 상록구 본오1동,2023,남,18515
경기도 안산시 상록구 본오1동,2023,남+여,35589
경기도 안산시 상록구 본오1동,2023,여,17074
경기도 안산시 상록구 본오1동,2024,남,18031
경기도 안산시 상록구 본오1동,2024,남+여,34738
경기도 안산시 상록구 본오1동,2024,여,16707
경기도 안산시 상록구 본오1동,2025,남,17694
경기도 안산시 상록구 본오1동,2025,남+여,34092
경기도 안산시 상록구 본오1동,2025,여,16398
경기도 안산시 상록구 본오2동,2016,남,15122
경기도 안산시 상록구 본오2동,2016,남+여,30631
경기도 안산시 상록구 본오2동,2016,여,15509
경기도 안산시 상록구 본오2동,2017,남,14951
경기도 안산시 상록구 본오2동,2017,남+여,30212
경기도 안산시 상록구 본오2동,2017,여,15261
경기도 안산시 상록구 본오2동,2018,남,14411
경기도 안산시 상록구 본오2동,2018,남+여,29052
경기도 안산시 상록구 본오2동,2018,여,14641
경기도 안산시 상록구 본오2동,2019,남,13829
경기도 안산시 상록구 본오2동,2019,남+여,27908
경기도 안산시 상록구 본오2동,2019,여,14079
경기도 안산시 상록구 본오2동,2020,남,13303
경기도 안산시 상록구 본오2동,2020,남+여,26840
경기도 안산시 상록구 본오2동,2020,여,13537
경기도 안산시 상록구 본오2동,2021,남,12989
경기도 안산시 상록구 본오2동,2021,남+여,26186
경기도 안산시 상록구 본오2동,2021,여,13197
경기도 안산시 상록구 본오2동,2022,남,12667
경기도 안산시 상록구 본오2동,2022,남+여,25570
경기도 안산시 상록구 본오2동,2022,여,12903
경기도 안산시 상록구 본오2동,2023,남,12238
경기도 안산시 상록구 본오2동,2023,남+여,24928
경기도 안산시 상록구 본오2동,2023,여,12690
경기도 안산시 상록구 본오2동,2024,남,11955
경기도 안산시 상록구 본오2동,2024,남+여,24335
경기도 안산시 상록구 본오2동,2024,여,12380
경기도 안산시 상록구 본오2동,2025,남,11754
경기도 안산시 상록구 본오2동,2025,남+여,23835
경기도 안산시 상록구 본오2동,2025,여,12081
경기도 안산시 상록구 본오3동,2016,남,11663
경기도 안산시 상록구 본오3동,2016,남+여,23437
경기도 안산시 상록구 본오3동,2016,여,11774
경기도 안산시 상록구 본오3동,2017,남,11355
경기도 안산시 상록구 본오3동,2017,남+여,22882
경기도 안산시 상록구 본오3동,2017,여,11527
경기도 안산시 상록구 본오3동,2018,남,10786
경기도 안산시 상록구 본오3동,2018,남+여,21732
경기도 안산시 상록구 본오3동,2018,여,10946
경기도 안산시 상록구 본오3동,2019,남,10468
경기도 안산시 상록구 본오3동,2019,남+여,21030
경기도 안산시 상록구 본오3동,2019,여,10562
경기도 안산시 상록구 본오3동,2020,남,10039
경기도 안산시 상록구 본오3동,2020,남+여,20156
경기도 안산시 상록구 본오3동,2020,여,10117
경기도 안산시 상록구 본오3동,2021,남,9743
